Employee ID,Name,Department,Job Role,Performance Score,KPI Score,Attendance (%),Peer Rating,Task Completion (%),Work Hours Logged,Manager Feedback,Training Hours,Promotion Eligibility,Promotion_Numeric,ProductivityIndex,WorkHourEfficiency,ManagerScoreRatio,PerformanceTier
190571,Vidur Mani,Finance,Accountant,52,91.38,76.3,4.2,90.17,49,3.7,19,No,0,87.58749999999999,1.8034000000000001,74.0,Exceeds Expectations
478699,Anahita Ratti,Marketing,SEO Specialist,66,72.15,89.63,3.7,79.63,49,4.6,30,No,0,77.66749999999999,1.5926,92.0,Meets Expectations
892101,Sumer Mallick,Finance,Financial Analyst,68,80.43,90.09,4.8,84.64,51,3.9,12,No,0,85.68800000000002,1.6276923076923078,78.0,Exceeds Expectations
268043,Aaina Swaminathan,Finance,Financial Analyst,90,82.5,80.84,4.1,90.53,49,4.6,1,Yes,1,84.98649999999999,1.8106,92.0,Exceeds Expectations
108201,Nitara Saha,Sales,Sales Executive,77,70.93,94.01,4.2,96.69,53,4.1,8,No,0,85.3685,1.7905555555555555,82.0,Exceeds Expectations
431608,Yuvraj  Kota,Marketing,SEO Specialist,52,89.09,95.21,3.8,74.09,55,4.0,13,No,0,82.7945,1.3230357142857143,80.0,Exceeds Expectations
302120,Uthkarsh Bhakta,IT,Cybersecurity Specialist,95,63.18,98.11,4.7,98.39,36,3.3,30,No,0,85.36599999999999,2.6591891891891892,65.99999999999999,Exceeds Expectations
949655,Hiran Sharma,HR,Recruitment Specialist,97,73.85,89.07,4.1,98.64,53,3.2,1,No,0,86.032,1.8266666666666667,64.0,Exceeds Expectations
999957,Rhea Handa,Finance,Financial Analyst,68,92.79,77.28,4.1,96.44,51,4.4,3,No,0,90.1225,1.8546153846153846,88.00000000000001,Exceeds Expectations
853352,Lakshay Rout,HR,HR Manager,86,94.22,92.13,3.8,94.42,45,4.7,17,Yes,1,91.24350000000001,2.052608695652174,94.0,Exceeds Expectations
972885,Ishita Dhillon,Marketing,Marketing Executive,70,64.1,85.82,4.9,79.79,53,3.4,11,No,0,77.93449999999999,1.4775925925925928,68.0,Meets Expectations
692055,Hazel Choudhary,HR,Recruitment Specialist,96,76.86,78.28,4.5,98.51,41,3.5,23,No,0,86.6215,2.3454761904761905,70.0,Exceeds Expectations
691847,Eva Khanna,Marketing,Marketing Executive,82,65.76,95.83,3.2,88.84,55,4.0,28,No,0,78.08449999999999,1.5864285714285715,80.0,Meets Expectations
325523,Mishti Krishnan,IT,Software Engineer,88,62.97,81.47,3.8,74.39,36,3.4,3,No,0,71.6965,2.0105405405405405,68.0,Meets Expectations
529211,Kiaan Dutta,IT,Cybersecurity Specialist,73,91.15,90.92,4.7,85.23,52,4.8,19,No,0,89.471,1.6081132075471698,96.0,Exceeds Expectations
748631,Onkar Rama,HR,HR Manager,66,94.05,83.04,3.8,85.8,46,4.2,17,No,0,86.8035,1.8255319148936169,84.00000000000001,Exceeds Expectations
352450,Mishti Chacko,IT,Cybersecurity Specialist,73,94.97,96.7,3.5,81.31,39,3.8,7,No,0,86.70299999999999,2.03275,76.0,Exceeds Expectations
597949,Shaan Basu,HR,HR Manager,97,79.07,86.59,3.1,90.24,39,4.2,27,Yes,1,81.54699999999998,2.256,84.00000000000001,Exceeds Expectations
538851,Alia Sidhu,Sales,Business Development,89,77.14,99.3,4.9,84.05,38,3.4,15,No,0,86.0115,2.155128205128205,68.0,Exceeds Expectations
982166,Rohan Bala,Finance,Accountant,97,76.97,95.4,3.5,70.93,48,4.2,15,Yes,1,76.575,1.4475510204081634,84.00000000000001,Meets Expectations
891328,Nishith Koshy,IT,Data Analyst,64,84.34,97.17,3.3,92.24,46,4.9,26,No,0,86.27850000000001,1.9625531914893617,98.00000000000001,Exceeds Expectations
976367,Nishith Kibe,Finance,Financial Analyst,75,74.44,87.56,4.2,85.01,50,3.5,27,No,0,81.54149999999998,1.6668627450980393,70.0,Exceeds Expectations
968990,Badal Mani,HR,Employee Relations,65,64.87,90.97,3.2,86.54,50,4.6,17,No,0,76.23899999999999,1.6968627450980394,92.0,Meets Expectations
675019,Devansh Chander,Finance,Auditor,50,92.85,75.92,3.1,95.35,52,3.8,6,No,0,86.55799999999999,1.799056603773585,76.0,Exceeds Expectations
326885,Kiaan Goswami,IT,Cybersecurity Specialist,69,71.13,96.81,4.8,75.48,48,4.8,5,No,0,80.23499999999999,1.5404081632653062,96.0,Exceeds Expectations
803681,Vritika Kala,Sales,Account Manager,51,79.04,76.3,3.5,87.92,53,3.5,8,No,0,80.381,1.6281481481481481,70.0,Exceeds Expectations
525050,Mahika Saxena,Marketing,Marketing Executive,55,71.99,98.29,4.9,97.9,37,3.6,25,No,0,88.905,2.5763157894736843,72.0,Exceeds Expectations
603407,Kavya Shah,HR,Employee Relations,56,75.28,76.55,4.3,95.42,41,3.1,30,No,0,84.1275,2.271904761904762,62.0,Exceeds Expectations
211921,Pari Zacharia,HR,Employee Relations,62,75.99,83.45,5.0,94.67,39,4.9,14,No,0,87.24849999999999,2.36675,98.00000000000001,Exceeds Expectations
582539,Ira Iyengar,HR,HR Manager,69,89.6,77.11,4.9,89.4,45,4.9,16,No,0,88.9165,1.9434782608695653,98.00000000000001,Exceeds Expectations
713340,Tanya Taneja,Finance,Financial Analyst,100,86.58,75.08,3.6,70.37,50,4.0,3,No,0,76.99449999999999,1.3798039215686275,80.0,Meets Expectations
162959,Tiya Mannan,Sales,Account Manager,99,70.02,79.34,3.4,96.43,38,3.4,14,No,0,80.3585,2.4725641025641028,68.0,Exceeds Expectations
692057,Vritika Verma,Marketing,Content Strategist,52,66.63,91.34,3.2,99.5,43,4.8,8,No,0,81.44649999999999,2.2613636363636362,96.0,Exceeds Expectations
886392,Heer Kale,Finance,Accountant,87,81.62,75.18,3.9,87.27,46,4.2,4,Yes,1,82.0885,1.8568085106382979,84.00000000000001,Exceeds Expectations
311713,Shanaya Krishnan,Finance,Financial Analyst,69,60.63,90.4,4.3,89.77,51,3.9,17,No,0,79.10000000000001,1.7263461538461538,78.0,Meets Expectations
420151,Anya Wadhwa,Finance,Auditor,60,87.52,97.52,3.9,70.66,51,4.6,8,No,0,81.691,1.3588461538461538,92.0,Exceeds Expectations
690698,Devansh Tandon,Marketing,Marketing Executive,66,73.3,82.1,3.8,81.2,38,4.4,2,No,0,77.79,2.082051282051282,88.00000000000001,Meets Expectations
978856,Vritika Walla,Sales,Account Manager,65,93.11,84.62,4.3,91.25,39,3.7,13,No,0,90.119,2.28125,74.0,Exceeds Expectations
171922,Mohanlal Kari,Marketing,SEO Specialist,77,73.74,88.29,3.3,99.22,42,4.1,13,No,0,83.6795,2.3074418604651163,82.0,Exceeds Expectations
978968,Kiaan Bora,Marketing,Content Strategist,86,79.1,98.03,4.0,99.26,52,4.1,22,Yes,1,89.1305,1.8728301886792453,82.0,Exceeds Expectations
560366,Siya Ramakrishnan,HR,Recruitment Specialist,83,91.48,96.91,4.8,97.58,49,3.4,14,No,0,95.10749999999999,1.9516,68.0,Exceeds Expectations
168956,Kaira Golla,Finance,Accountant,92,72.69,99.03,4.1,98.73,54,4.5,10,Yes,1,87.1515,1.795090909090909,90.0,Exceeds Expectations
654455,Aarna Saxena,IT,Software Engineer,71,62.39,75.49,4.6,80.84,38,3.1,5,No,0,75.25399999999999,2.072820512820513,62.0,Meets Expectations
727177,Siya Brar,Finance,Auditor,53,61.01,93.18,4.7,84.28,50,3.2,12,No,0,78.92849999999999,1.6525490196078432,64.0,Meets Expectations
553994,Jayan Bora,Sales,Account Manager,75,69.36,87.12,4.8,82.27,44,4.4,0,No,0,80.5385,1.8282222222222222,88.00000000000001,Exceeds Expectations
474749,Seher Hora,IT,Data Analyst,73,88.58,78.42,3.8,72.05,52,4.8,16,No,0,79.3835,1.359433962264151,96.0,Meets Expectations
404381,Anahi Bakshi,Marketing,Content Strategist,83,86.51,78.79,4.9,99.48,43,4.2,19,No,0,91.615,2.260909090909091,84.00000000000001,Exceeds Expectations
149475,Nitara Dhaliwal,Finance,Financial Analyst,67,62.85,76.6,3.8,71.82,52,3.2,24,No,0,70.0245,1.3550943396226414,64.0,Meets Expectations
165487,Lakshit Kibe,HR,Recruitment Specialist,85,73.57,85.75,3.8,71.09,51,3.9,2,No,0,74.8935,1.3671153846153847,78.0,Meets Expectations
618249,Pihu Sane,Marketing,SEO Specialist,64,79.48,98.75,4.6,89.46,44,4.0,21,No,0,87.74149999999999,1.9879999999999998,80.0,Exceeds Expectations
132554,Aaryahi Krishna,Finance,Accountant,92,89.37,95.72,4.8,70.93,45,3.9,3,No,0,84.863,1.5419565217391307,78.0,Exceeds Expectations
995697,Divit Kata,Sales,Business Development,52,60.46,92.52,4.6,87.16,49,3.5,18,No,0,79.34499999999998,1.7431999999999999,70.0,Meets Expectations
709737,Saanvi Chatterjee,Sales,Business Development,58,66.35,77.4,3.9,71.62,42,4.0,15,No,0,71.59949999999999,1.6655813953488374,80.0,Meets Expectations
292420,Baiju Chaudhuri,Marketing,Content Strategist,61,84.44,84.67,4.6,79.94,44,3.4,20,No,0,84.0335,1.7764444444444445,68.0,Exceeds Expectations
549479,Lakshay Seshadri,HR,Employee Relations,69,73.67,89.24,4.3,72.27,41,3.3,16,No,0,77.365,1.7207142857142856,65.99999999999999,Meets Expectations
925538,Hridaan Gour,Finance,Accountant,73,73.41,95.83,4.0,97.73,37,3.7,18,No,0,86.2735,2.571842105263158,74.0,Exceeds Expectations
948763,Darshit Baral,HR,HR Manager,91,93.43,88.25,4.4,97.58,50,3.6,19,No,0,93.291,1.9133333333333333,72.0,Exceeds Expectations
314725,Miraya Mani,IT,Software Engineer,89,92.41,96.04,3.5,93.89,44,3.7,7,No,0,90.111,2.0864444444444445,74.0,Exceeds Expectations
429616,Vivaan Shan,Marketing,Marketing Executive,100,76.05,83.95,4.1,73.2,50,4.1,23,Yes,1,77.13,1.4352941176470588,82.0,Meets Expectations
774009,Mamooty Bakshi,Finance,Accountant,59,61.11,78.26,3.0,96.55,35,3.1,12,No,0,75.92,2.6819444444444445,62.0,Meets Expectations
317578,Jivika Bhalla,HR,Recruitment Specialist,60,92.2,96.47,4.0,99.65,45,4.3,29,No,0,93.618,2.1663043478260873,86.0,Exceeds Expectations
306725,Divyansh Goyal,Sales,Account Manager,68,91.06,84.69,3.5,76.79,46,3.2,13,No,0,81.95100000000001,1.6338297872340426,64.0,Exceeds Expectations
485549,Bhavin Setty,HR,Recruitment Specialist,65,67.41,94.3,4.4,79.77,47,3.0,30,No,0,78.85799999999999,1.661875,60.0,Meets Expectations
331817,Yuvaan Mani,Sales,Business Development,68,79.92,99.5,4.6,82.04,54,3.4,11,No,0,85.41099999999999,1.4916363636363636,68.0,Exceeds Expectations
114099,Advik Sinha,Marketing,Marketing Executive,85,93.7,77.04,3.1,70.18,48,4.6,26,No,0,78.214,1.4322448979591837,92.0,Meets Expectations
139080,Devansh Kothari,HR,Employee Relations,100,92.56,93.63,4.0,94.87,50,3.8,2,No,0,91.64500000000001,1.8601960784313727,76.0,Exceeds Expectations
305887,Inaaya  Sha,Finance,Accountant,81,80.86,75.29,3.3,79.25,40,4.2,29,No,0,77.232,1.9329268292682926,84.00000000000001,Meets Expectations
639096,Aniruddh Mangal,Sales,Account Manager,97,83.83,82.95,5.0,82.2,53,4.7,29,Yes,1,85.553,1.5222222222222224,94.0,Exceeds Expectations
262442,Divyansh Chandran,HR,Recruitment Specialist,93,89.27,77.43,3.9,80.2,41,3.4,30,No,0,82.629,1.9095238095238096,68.0,Exceeds Expectations
710432,Trisha Dara,HR,Employee Relations,65,61.39,88.39,4.8,99.38,35,5.0,2,No,0,83.928,2.7605555555555554,100.0,Exceeds Expectations
438030,Mishti Ravi,Finance,Accountant,87,84.58,97.31,4.6,74.96,52,4.4,6,Yes,1,84.23549999999999,1.4143396226415093,88.00000000000001,Exceeds Expectations
967292,Neysa Chawla,Marketing,Content Strategist,67,89.39,87.22,4.2,97.04,41,3.0,30,No,0,90.93349999999998,2.310476190476191,60.0,Exceeds Expectations
840198,Nirvaan Bali,IT,Cybersecurity Specialist,71,74.32,89.62,4.1,87.45,53,3.7,22,No,0,82.3625,1.6194444444444445,74.0,Exceeds Expectations
158146,Divit Bhalla,IT,Software Engineer,73,94.09,84.21,3.6,74.29,52,4.0,5,No,0,82.36449999999999,1.4016981132075472,80.0,Exceeds Expectations
741554,Purab Srinivas,Marketing,Content Strategist,70,83.44,92.82,4.5,80.9,39,3.2,9,No,0,84.942,2.0225,64.0,Exceeds Expectations
594881,Vihaan Goda,IT,Software Engineer,95,66.14,93.46,3.3,92.86,35,4.0,20,No,0,79.56899999999999,2.5794444444444444,80.0,Meets Expectations
794196,Indrans Bal,HR,Recruitment Specialist,69,88.67,96.95,3.4,78.69,39,3.5,10,No,0,83.3185,1.96725,70.0,Exceeds Expectations
731647,Raunak Kothari,Finance,Auditor,51,67.04,88.21,3.3,70.57,40,3.4,9,No,0,71.295,1.7212195121951217,68.0,Meets Expectations
818673,Yasmin Rastogi,Marketing,SEO Specialist,74,74.62,87.29,4.7,78.31,53,4.4,9,No,0,80.719,1.4501851851851852,88.00000000000001,Exceeds Expectations
336865,Manikya Choudhary,Sales,Account Manager,89,66.98,79.44,4.1,93.99,49,4.9,25,Yes,1,80.5555,1.8798,98.00000000000001,Exceeds Expectations
129211,Raunak Sodhi,Finance,Accountant,55,63.76,78.07,4.4,96.11,43,3.3,29,No,0,80.865,2.1843181818181816,65.99999999999999,Exceeds Expectations
395943,Ivan Mallick,Marketing,SEO Specialist,100,77.85,98.96,4.9,99.4,54,4.4,28,Yes,1,91.58149999999999,1.8072727272727274,88.00000000000001,Exceeds Expectations
675021,Damini Bala,Marketing,Marketing Executive,53,91.27,92.06,4.3,73.77,49,4.7,27,No,0,84.473,1.4753999999999998,94.0,Exceeds Expectations
887129,Samar Sanghvi,IT,Software Engineer,85,89.12,99.83,4.3,89.43,39,3.6,27,No,0,90.367,2.2357500000000003,72.0,Exceeds Expectations
830319,Keya Brar,Marketing,Marketing Executive,95,81.37,88.09,4.2,81.42,50,3.4,20,No,0,82.78999999999999,1.596470588235294,68.0,Exceeds Expectations
918541,Divit Ravel,Finance,Accountant,80,93.92,96.33,4.0,79.26,35,5.0,24,No,0,87.0625,2.2016666666666667,100.0,Exceeds Expectations
337244,Ela Gole,Sales,Sales Executive,89,68.59,93.37,3.6,88.01,42,4.0,29,No,0,79.6155,2.046744186046512,80.0,Meets Expectations
346485,Dhruv Bali,IT,Data Analyst,78,64.88,75.76,4.0,82.66,36,4.1,25,No,0,75.003,2.234054054054054,82.0,Meets Expectations
568048,Jivin Lanka,HR,Employee Relations,87,72.71,91.81,3.2,70.53,37,4.3,18,Yes,1,73.50549999999998,1.8560526315789474,86.0,Meets Expectations
689881,Lavanya Sengupta,Sales,Business Development,69,68.51,99.85,4.0,82.67,49,4.8,23,No,0,79.8905,1.6534,96.0,Meets Expectations
920549,Vidur Vala,Marketing,Marketing Executive,63,72.34,91.38,3.3,92.85,40,4.5,10,No,0,81.42349999999999,2.2646341463414634,90.0,Exceeds Expectations
684377,Anahita Wadhwa,HR,Employee Relations,68,88.79,98.65,4.8,82.72,36,4.9,30,No,0,89.226,2.2356756756756755,98.00000000000001,Exceeds Expectations
809194,Advika Grewal,Finance,Financial Analyst,60,74.86,80.45,3.9,81.33,46,3.7,29,No,0,78.434,1.7304255319148936,74.0,Meets Expectations
373287,Ojas Halder,Finance,Accountant,61,66.01,93.02,4.3,93.13,48,3.8,10,No,0,82.552,1.900612244897959,76.0,Exceeds Expectations
348494,Suhana Deep,Marketing,Content Strategist,82,91.11,87.16,4.9,97.63,39,4.3,3,No,0,93.833,2.44075,86.0,Exceeds Expectations
991106,Hazel Subramanian,HR,Employee Relations,77,83.47,77.45,3.5,95.55,51,4.4,15,No,0,84.77449999999999,1.8375,88.00000000000001,Exceeds Expectations
434736,Mishti Gaba,Marketing,SEO Specialist,59,62.49,78.74,3.5,89.19,35,4.9,4,No,0,75.39899999999999,2.4775,98.00000000000001,Meets Expectations
300291,Dhanush Shukla,Finance,Auditor,87,82.84,83.2,4.3,75.63,49,4.4,10,Yes,1,80.84450000000001,1.5126,88.00000000000001,Exceeds Expectations
930682,Veer Bhasin,Sales,Business Development,88,63.61,84.95,4.9,89.8,41,4.5,28,Yes,1,81.136,2.138095238095238,90.0,Exceeds Expectations
872547,Lakshit Rout,Finance,Financial Analyst,63,89.11,82.6,4.9,96.99,45,4.6,5,No,0,92.225,2.108478260869565,92.0,Exceeds Expectations
137227,Kashvi Chana,Sales,Sales Executive,80,73.94,83.52,4.2,85.29,43,3.7,4,No,0,80.85849999999999,1.938409090909091,74.0,Exceeds Expectations
492346,Samarth Varughese,HR,Recruitment Specialist,91,84.47,89.53,4.5,86.93,44,4.7,11,Yes,1,86.9195,1.931777777777778,94.0,Exceeds Expectations
104894,Arhaan Raman,Marketing,Marketing Executive,82,85.32,84.22,4.3,98.69,55,3.6,23,No,0,89.9365,1.7623214285714286,72.0,Exceeds Expectations
574980,Eshani Soman,IT,Data Analyst,76,72.37,80.74,3.7,96.2,53,4.2,0,No,0,82.2105,1.7814814814814814,84.00000000000001,Exceeds Expectations
938510,Nakul Madan,HR,HR Manager,83,61.97,93.79,4.2,86.91,53,3.0,26,No,0,78.7765,1.6094444444444445,60.0,Meets Expectations
914691,Aradhya Handa,Sales,Business Development,94,70.22,81.05,4.1,98.95,41,3.3,16,No,0,83.66699999999999,2.355952380952381,65.99999999999999,Exceeds Expectations
959287,Mishti Sarin,HR,Employee Relations,55,61.91,96.05,3.5,95.43,52,4.1,6,No,0,79.9765,1.8005660377358492,82.0,Meets Expectations
657468,Zoya Som,HR,Employee Relations,70,64.93,99.55,4.9,74.63,37,3.8,4,No,0,78.4785,1.9639473684210524,76.0,Meets Expectations
251209,Mannat Bakshi,Finance,Financial Analyst,57,64.03,83.62,3.6,73.33,52,3.7,29,No,0,71.419,1.3835849056603773,74.0,Meets Expectations
627672,Keya Butala,Finance,Accountant,68,69.35,81.57,4.6,93.75,45,4.9,14,No,0,83.12049999999999,2.0380434782608696,98.00000000000001,Exceeds Expectations
283291,Alia Sawhney,IT,Data Analyst,64,66.32,93.61,4.5,70.27,52,4.4,2,No,0,75.34799999999998,1.3258490566037735,88.00000000000001,Meets Expectations
366737,Vritika Khalsa,Marketing,Content Strategist,96,71.52,80.62,4.1,83.72,37,3.2,30,No,0,78.72699999999999,2.203157894736842,64.0,Meets Expectations
722297,Neelofar Keer,Sales,Account Manager,87,93.59,76.5,4.0,86.67,50,4.0,29,No,0,86.566,1.6994117647058824,80.0,Exceeds Expectations
814101,Divyansh Kaur,Marketing,SEO Specialist,85,70.61,78.81,4.7,92.78,51,3.6,10,No,0,83.10799999999999,1.7842307692307693,72.0,Exceeds Expectations
381345,Abram Mane,Finance,Accountant,73,92.29,93.66,3.9,81.26,38,3.8,27,No,0,86.49149999999999,2.083589743589744,76.0,Exceeds Expectations
295113,Gatik Guha,Marketing,Content Strategist,86,62.94,86.0,4.1,93.43,52,4.9,8,Yes,1,79.92949999999999,1.7628301886792455,98.00000000000001,Meets Expectations
414900,Dharmajan Kalita,HR,Recruitment Specialist,96,69.58,92.53,4.9,93.79,41,4.6,2,Yes,1,85.759,2.2330952380952382,92.0,Exceeds Expectations
933548,Riya Dani,Marketing,Marketing Executive,74,94.91,91.43,4.7,73.81,54,4.0,9,No,0,86.8665,1.342,80.0,Exceeds Expectations
218595,Nitara Sarma,Marketing,Marketing Executive,84,91.62,85.68,4.4,78.13,48,4.0,29,No,0,85.4645,1.5944897959183673,80.0,Exceeds Expectations
384248,Kimaya Ghosh,IT,Software Engineer,89,61.94,82.49,3.2,95.06,44,3.5,16,No,0,76.92349999999999,2.1124444444444443,70.0,Meets Expectations
501422,Purab Bhargava,Finance,Auditor,86,78.38,92.79,4.1,76.69,46,4.4,16,Yes,1,80.49299999999998,1.6317021276595745,88.00000000000001,Exceeds Expectations
403338,Manikya Wable,Sales,Account Manager,55,74.28,95.73,4.4,76.67,49,3.9,3,No,0,80.392,1.5334,78.0,Exceeds Expectations
850100,Adah Solanki,Finance,Accountant,73,92.89,91.11,4.2,96.42,38,4.8,29,No,0,92.52499999999999,2.4723076923076923,96.0,Exceeds Expectations
522109,Purab Chhabra,Sales,Business Development,66,87.5,83.23,3.3,99.73,36,4.0,10,No,0,87.91499999999999,2.6954054054054053,80.0,Exceeds Expectations
709198,Samar Raju,Finance,Accountant,99,62.15,97.44,3.1,73.27,46,4.2,4,Yes,1,71.31299999999999,1.558936170212766,84.00000000000001,Meets Expectations
829551,Ojas Kannan,Sales,Sales Executive,79,90.67,99.21,5.0,96.12,49,4.8,0,No,0,95.258,1.9224,96.0,Exceeds Expectations
480394,Sara Vala,HR,Employee Relations,80,75.41,84.97,4.7,71.11,41,3.9,18,No,0,78.1275,1.693095238095238,78.0,Meets Expectations
941122,Hrishita Bala,Finance,Financial Analyst,71,68.2,95.9,4.5,72.63,49,3.1,26,No,0,77.1755,1.4526,62.0,Meets Expectations
296812,Inaaya  Kurian,Sales,Business Development,57,73.85,95.95,4.1,73.03,55,4.1,7,No,0,78.1005,1.304107142857143,82.0,Meets Expectations
706124,Akarsh De,Finance,Accountant,77,85.94,96.56,4.6,77.14,50,4.1,10,No,0,85.362,1.512549019607843,82.0,Exceeds Expectations
297819,Jivika Sant,Finance,Accountant,75,93.96,95.16,3.2,72.88,45,3.5,14,No,0,82.26799999999999,1.5843478260869563,70.0,Exceeds Expectations
165053,Ivana Viswanathan,HR,HR Manager,95,87.78,98.1,4.2,91.24,45,3.9,6,No,0,89.972,1.9834782608695651,78.0,Exceeds Expectations
398012,Adah Sarraf,Marketing,Content Strategist,98,77.83,90.06,3.8,70.22,41,4.9,18,Yes,1,76.7265,1.6719047619047618,98.00000000000001,Meets Expectations
555457,Veer Kumar,IT,Cybersecurity Specialist,59,70.8,92.99,4.9,95.76,37,4.4,28,No,0,86.94449999999999,2.52,88.00000000000001,Exceeds Expectations
177315,Aayush Kibe,HR,HR Manager,91,88.79,99.39,4.0,88.02,47,5.0,1,Yes,1,88.792,1.83375,100.0,Exceeds Expectations
401685,Miraya Dayal,Sales,Account Manager,60,71.84,99.47,3.7,76.83,50,4.4,1,No,0,78.05499999999999,1.506470588235294,88.00000000000001,Meets Expectations
363762,Stuvan Verma,HR,HR Manager,91,62.38,92.08,3.1,93.77,42,4.7,23,Yes,1,77.7645,2.1806976744186044,94.0,Meets Expectations
488108,Vihaan Varghese,HR,Employee Relations,86,75.24,89.7,3.9,94.16,37,4.5,8,Yes,1,84.445,2.477894736842105,90.0,Exceeds Expectations
399562,Lagan Bajwa,Sales,Sales Executive,72,74.95,86.63,3.0,88.1,50,3.3,22,No,0,79.062,1.7274509803921567,65.99999999999999,Meets Expectations
808996,Aradhya Chaudhuri,HR,Employee Relations,77,73.91,90.22,3.6,77.5,37,4.4,12,No,0,77.3265,2.039473684210526,88.00000000000001,Meets Expectations
402302,Divit Rajagopal,Marketing,SEO Specialist,66,84.67,79.1,3.8,71.76,43,3.8,6,No,0,78.0155,1.630909090909091,76.0,Meets Expectations
879751,Alia Balasubramanian,Sales,Business Development,67,84.77,98.68,3.3,93.06,37,4.4,24,No,0,86.9425,2.4489473684210528,88.00000000000001,Exceeds Expectations
308048,Dhruv Babu,HR,Recruitment Specialist,91,90.55,79.89,4.4,84.26,40,4.5,24,Yes,1,86.367,2.0551219512195122,90.0,Exceeds Expectations
