Employee ID,StartDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,State,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,Age,TrainingSuccess,CostPerTrainingDay,OverallSatisfactionIndex
3443,2021-04-05,Area Sales Manager,WBL,Active,Full-Time,Zone C,Part-Time,IT/IS,Project Management - Con,1994-08-04,KY,Male,Asian,Widowed,Fully Meets,3,2023-04-29,2,2,4,2023-02-18,Technical Skills,External,Failed,3,402.13,27,0,129.71935483870968,2.6666666666666665
3444,2021-11-28,Area Sales Manager,NEL,Active,Contract,Zone A,Part-Time,Sales,Engineers,1983-11-15,KY,Male,Other,Widowed,Fully Meets,3,2022-12-14,1,2,4,2022-11-02,Technical Skills,External,Failed,2,388.84,38,0,185.16190476190474,2.3333333333333335
3445,2021-01-16,Area Sales Manager,PL,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,1985-07-12,KY,Female,Other,Married,Exceeds,4,2023-07-05,4,5,2,2023-07-14,Project Management,External,Completed,2,879.64,36,1,418.87619047619046,3.6666666666666665
3446,2021-08-24,Area Sales Manager,BPC,Active,Part-Time,Zone A,Part-Time,Sales,Field Operations,1996-01-05,TX,Female,White,Divorced,Exceeds,2,2023-05-21,4,3,5,2022-12-11,Technical Skills,Internal,Failed,5,701.13,25,0,137.47647058823532,4.0
3450,2020-09-01,Area Sales Manager,MSC,Active,Contract,Zone C,Temporary,Sales,Field Operations,1994-11-08,CO,Male,Other,Single,Exceeds,2,2023-01-18,4,3,5,2023-01-12,Technical Skills,Internal,Completed,4,186.07,26,1,45.38292682926829,4.0
3451,2021-02-18,Area Sales Manager,TNS,Active,Contract,Zone C,Full-Time,Sales,General - Con,1968-01-15,CO,Male,Other,Divorced,Exceeds,3,2023-04-29,5,1,2,2023-03-22,Technical Skills,External,Completed,1,921.97,53,1,838.1545454545454,2.6666666666666665
3452,2022-11-08,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,1947-07-01,IN,Male,Black,Divorced,Fully Meets,2,2023-01-19,5,5,2,2022-09-13,Customer Service,Internal,Failed,1,691.04,75,0,628.2181818181817,4.0
3453,2022-10-13,Area Sales Manager,WBL,Active,Contract,Zone C,Part-Time,Sales,Fielders,1982-07-04,MA,Male,White,Widowed,Fully Meets,4,2022-09-17,5,5,3,2022-08-25,Customer Service,External,Completed,5,964.44,40,1,189.1058823529412,4.333333333333333
3454,2022-09-11,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,IT/IS,General - Con,1970-01-29,KY,Male,Hispanic,Married,Needs Improvement,4,2023-03-14,4,4,2,2023-02-07,Communication Skills,Internal,Passed,3,184.9,52,1,59.645161290322584,3.3333333333333335
3455,2021-06-29,Area Sales Manager,WBL,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Eng,1999-01-18,KY,Male,Other,Widowed,Exceeds,4,2022-12-08,2,1,1,2023-03-17,Project Management,External,Passed,1,220.41,22,1,200.37272727272725,1.3333333333333333
3456,2023-03-06,Area Sales Manager,NEL,Active,Full-Time,Zone A,Temporary,Sales,Field Operations,1946-09-25,KY,Female,Black,Divorced,Fully Meets,3,2023-03-30,4,3,4,2023-06-08,Technical Skills,External,Passed,2,336.82,77,1,160.3904761904762,3.6666666666666665
3457,2020-09-25,Area Sales Manager,PL,Active,Full-Time,Zone B,Temporary,Sales,Engineers,1947-08-23,KY,Female,White,Divorced,Needs Improvement,3,2023-04-21,5,1,4,2023-04-15,Customer Service,External,Completed,4,485.73,73,1,118.47073170731709,3.3333333333333335
3460,2020-02-19,Area Sales Manager,SVG,Active,Full-Time,Zone A,Full-Time,Sales,Aerial,1944-10-02,TX,Male,Asian,Married,Fully Meets,3,2022-11-16,4,3,3,2023-07-08,Communication Skills,External,Incomplete,5,919.52,76,0,180.2980392156863,3.3333333333333335
3462,2018-09-13,Area Sales Manager,MSC,Active,Contract,Zone A,Full-Time,Sales,Field Operations,1942-09-08,CO,Male,Hispanic,Divorced,Needs Improvement,3,2022-08-11,3,3,1,2023-07-19,Project Management,External,Completed,1,320.01,76,1,290.9181818181818,2.3333333333333335
3463,2020-04-30,Area Sales Manager,TNS,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,1951-06-21,IN,Male,Hispanic,Single,Fully Meets,1,2022-09-18,4,3,4,2022-08-29,Technical Skills,Internal,Incomplete,4,926.19,69,0,225.90000000000003,3.6666666666666665
3464,2018-12-03,Area Sales Manager,PYZ,Active,Contract,Zone B,Full-Time,Sales,Shop (Fleet),1998-06-17,MA,Male,Black,Widowed,Needs Improvement,5,2022-12-29,2,5,3,2022-11-13,Customer Service,External,Passed,2,290.47,20,1,138.31904761904764,3.3333333333333335
3465,2021-11-08,Area Sales Manager,WBL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,1962-07-01,MA,Male,Asian,Divorced,Needs Improvement,3,2023-05-19,5,4,3,2023-06-04,Communication Skills,External,Incomplete,1,706.1,59,0,641.9090909090909,4.0
3466,2022-04-13,Area Sales Manager,PYZ,Active,Part-Time,Zone C,Full-Time,IT/IS,Aerial,1979-01-26,KY,Male,Other,Married,Exceeds,4,2023-04-08,1,3,4,2022-12-07,Customer Service,External,Passed,3,447.66,43,1,144.40645161290323,2.6666666666666665
3467,2020-05-06,Area Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Sales,Fielders,1987-05-14,KY,Female,Asian,Divorced,Exceeds,1,2023-06-27,4,3,2,2023-02-24,Technical Skills,Internal,Incomplete,1,759.7,33,0,690.6363636363636,3.0
3468,2019-09-09,Area Sales Manager,NEL,Active,Contract,Zone B,Temporary,Sales,Wireline Construction,1998-04-26,KY,Female,Black,Single,Fully Meets,4,2023-05-02,3,1,3,2023-05-10,Customer Service,Internal,Completed,3,180.63,21,1,58.26774193548387,2.3333333333333335
3471,2020-02-29,Area Sales Manager,CCDR,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,1967-03-01,TX,Male,Asian,Married,Fully Meets,4,2023-04-30,2,4,1,2023-03-23,Customer Service,External,Passed,3,109.98,53,1,35.47741935483871,2.3333333333333335
3472,2023-01-15,Area Sales Manager,SVG,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,1982-12-01,TX,Male,Other,Married,Exceeds,4,2023-07-26,5,5,4,2023-02-12,Technical Skills,External,Completed,5,537.24,41,1,105.34117647058824,4.666666666666667
3473,2023-06-29,Area Sales Manager,EW,Active,Part-Time,Zone A,Temporary,Sales,Shop (Fleet),1950-01-10,CO,Male,Hispanic,Widowed,Exceeds,2,2023-06-28,3,4,4,2022-12-06,Communication Skills,External,Failed,5,789.99,73,0,154.9,3.6666666666666665
3474,2020-03-09,Area Sales Manager,MSC,Active,Full-Time,Zone A,Temporary,Sales,Catv,1965-12-16,CO,Male,Other,Divorced,Fully Meets,2,2023-09-05,3,1,2,2022-09-01,Customer Service,External,Incomplete,5,155.51,55,0,30.492156862745098,2.0
3475,2021-09-21,Area Sales Manager,TNS,Active,Full-Time,Zone C,Temporary,Sales,General - Con,1957-12-25,IN,Male,Asian,Widowed,Fully Meets,2,2023-01-25,4,3,4,2022-11-02,Customer Service,Internal,Passed,2,648.76,64,1,308.93333333333334,3.6666666666666665
3476,2023-06-12,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Temporary,Sales,Fielders,1945-06-20,MA,Male,Asian,Divorced,Needs Improvement,2,2023-03-03,5,5,3,2022-11-18,Leadership Development,Internal,Incomplete,4,533.5,78,0,130.1219512195122,4.333333333333333
3477,2019-04-07,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Full-Time,IT/IS,Aerial,1969-03-12,KY,Female,Asian,Widowed,Needs Improvement,2,2022-05-12,1,2,1,2022-11-07,Leadership Development,External,Failed,5,429.48,50,0,84.21176470588236,1.3333333333333333
3478,2018-09-17,Area Sales Manager,WBL,Active,Full-Time,Zone C,Temporary,Sales,Wireline Construction,1957-10-10,KY,Female,Hispanic,Married,Fully Meets,2,2022-11-29,3,4,1,2022-10-05,Technical Skills,External,Incomplete,1,526.74,61,0,478.8545454545454,2.6666666666666665
3479,2022-08-02,Area Sales Manager,NEL,Active,Contract,Zone A,Part-Time,Sales,Project Management - Con,1962-05-17,TX,Female,Hispanic,Widowed,Fully Meets,2,2022-03-11,4,4,4,2023-01-18,Communication Skills,Internal,Passed,3,443.45,60,1,143.04838709677418,4.0
3483,2021-09-26,Area Sales Manager,SVG,Active,Part-Time,Zone B,Temporary,Sales,Project Management - Con,1964-06-19,CO,Male,Asian,Widowed,Fully Meets,1,2022-10-23,1,4,5,2022-08-10,Project Management,External,Passed,4,111.96,57,1,27.307317073170733,3.3333333333333335
3484,2018-08-29,Area Sales Manager,EW,Active,Part-Time,Zone B,Full-Time,Sales,General - Con,1995-07-18,CO,Male,Other,Single,Fully Meets,4,2022-09-16,1,2,4,2023-06-27,Project Management,External,Passed,1,795.7,23,1,723.3636363636364,2.3333333333333335
3485,2021-10-26,Area Sales Manager,MSC,Active,Contract,Zone C,Full-Time,Sales,Field Operations,1994-08-22,CO,Male,White,Widowed,Fully Meets,5,2023-07-05,2,1,3,2022-08-07,Customer Service,Internal,Passed,2,796.45,27,1,379.26190476190476,2.0
3486,2022-10-31,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Fielders,1990-11-14,IN,Male,Other,Widowed,Fully Meets,4,2022-08-27,3,1,1,2023-07-23,Project Management,Internal,Completed,5,812.59,32,1,159.33137254901962,1.6666666666666667
3487,2023-03-15,Area Sales Manager,BPC,Active,Contract,Zone B,Part-Time,Sales,General - Sga,1994-01-02,KY,Female,Other,Divorced,Fully Meets,4,2022-09-23,5,4,1,2023-07-17,Project Management,External,Completed,5,132.97,29,1,26.072549019607845,3.3333333333333335
3488,2022-09-09,Area Sales Manager,CCDR,Active,Contract,Zone B,Full-Time,Sales,Wireline Construction,1997-12-11,KY,Female,Asian,Single,Fully Meets,2,2023-11-03,1,5,1,2022-09-20,Communication Skills,Internal,Completed,1,308.19,25,1,280.17272727272723,2.3333333333333335
3489,2022-03-04,Area Sales Manager,EW,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,1953-02-05,TX,Female,Black,Divorced,Fully Meets,2,2022-03-12,2,4,5,2023-07-02,Project Management,Internal,Passed,1,131.41,69,1,119.46363636363635,3.6666666666666665
3490,2019-02-11,Area Sales Manager,MSC,Active,Part-Time,Zone A,Part-Time,Sales,General - Sga,1991-10-07,TX,Female,Hispanic,Divorced,Fully Meets,2,2022-12-10,5,3,2,2023-07-19,Technical Skills,Internal,Failed,3,389.59,28,0,125.67419354838708,3.3333333333333335
3491,2021-01-26,Area Sales Manager,NEL,Active,Contract,Zone B,Full-Time,Sales,Field Operations,1973-02-06,TX,Male,White,Widowed,Fully Meets,5,2022-10-09,3,4,5,2023-07-14,Project Management,Internal,Incomplete,3,442.56,48,0,142.76129032258063,4.0
3492,2019-11-26,Area Sales Manager,PL,Active,Full-Time,Zone C,Full-Time,Sales,General - Con,1993-08-01,CO,Male,Asian,Married,Fully Meets,1,2023-01-13,1,5,5,2022-09-06,Project Management,Internal,Incomplete,3,327.66,26,0,105.69677419354839,3.6666666666666665
3493,2019-07-15,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,1984-04-17,CO,Male,Asian,Widowed,Fully Meets,5,2023-02-04,3,1,5,2023-02-19,Project Management,Internal,Completed,3,400.95,35,1,129.33870967741936,3.0
3494,2020-06-18,Area Sales Manager,SVG,Active,Contract,Zone B,Full-Time,Sales,General - Con,1994-08-02,CO,Male,Black,Single,Fully Meets,4,2022-12-15,1,2,1,2023-02-11,Technical Skills,Internal,Completed,2,910.45,26,1,433.54761904761904,1.3333333333333333
3495,2023-06-22,Area Sales Manager,TNS,Active,Part-Time,Zone B,Temporary,Sales,Wireline Construction,1993-01-27,IN,Male,Other,Married,Fully Meets,4,2022-08-09,4,3,5,2022-12-21,Customer Service,External,Passed,1,701.55,30,1,637.7727272727271,4.0
3496,2021-12-02,Area Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Sales,General - Sga,1964-09-19,CA,Male,Other,Widowed,Fully Meets,5,2022-12-26,1,3,2,2023-02-16,Project Management,Internal,Incomplete,1,806.87,57,0,733.5181818181818,2.0
3497,2021-12-08,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Project Management - Con,1981-02-18,OR,Female,Hispanic,Widowed,Fully Meets,1,2022-09-18,2,3,4,2023-03-11,Communication Skills,Internal,Completed,2,184.21,40,1,87.71904761904761,3.0
3498,2023-04-26,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Full-Time,Sales,General - Sga,1998-10-17,KY,Female,White,Widowed,Fully Meets,2,2023-06-19,3,3,4,2023-05-30,Project Management,External,Failed,1,208.43,25,0,189.48181818181817,3.3333333333333335
3499,2018-09-25,Area Sales Manager,WBL,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,1971-01-16,KY,Female,Asian,Widowed,Fully Meets,5,2023-07-21,5,3,5,2023-01-30,Technical Skills,Internal,Incomplete,2,762.45,47,0,363.07142857142856,4.333333333333333
3500,2018-11-20,Area Sales Manager,NEL,Active,Full-Time,Zone B,Part-Time,Sales,Shop (Fleet),2000-02-25,TX,Female,White,Divorced,Fully Meets,1,2023-05-14,4,1,4,2023-06-15,Leadership Development,External,Incomplete,4,779.79,18,0,190.19268292682926,3.0
3502,2019-10-01,Area Sales Manager,BPC,Active,Full-Time,Zone C,Temporary,Sales,Splicing,1976-06-29,TX,Male,White,Married,Fully Meets,1,2023-04-24,5,3,5,2023-01-03,Customer Service,External,Incomplete,3,427.12,43,0,137.78064516129032,4.333333333333333
3503,2022-01-20,Area Sales Manager,CCDR,Active,Part-Time,Zone A,Temporary,Sales,Project Management - Con,1951-07-27,CO,Male,Other,Single,Fully Meets,4,2023-01-28,5,2,3,2023-02-20,Technical Skills,Internal,Completed,4,996.35,71,1,243.01219512195124,3.3333333333333335
3504,2021-10-10,Area Sales Manager,SVG,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,1980-08-23,CO,Male,Hispanic,Married,Fully Meets,2,2023-04-20,3,4,3,2023-06-02,Communication Skills,Internal,Completed,5,963.23,41,1,188.8686274509804,3.3333333333333335
3505,2020-08-29,Area Sales Manager,EW,Active,Contract,Zone B,Temporary,Sales,Field Operations,1943-07-24,IN,Male,Hispanic,Widowed,Fully Meets,1,2022-10-11,4,3,2,2022-09-13,Leadership Development,Internal,Failed,5,260.97,77,0,51.170588235294126,3.0
3506,2019-08-27,Area Sales Manager,MSC,Active,Full-Time,Zone B,Temporary,Sales,Field Operations,1988-06-07,IN,Male,Other,Married,Fully Meets,2,2023-06-27,2,2,3,2023-05-21,Leadership Development,Internal,Completed,1,781.81,31,1,710.7363636363635,2.3333333333333335
3507,2021-02-25,Area Sales Manager,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Project Management - Con,1973-03-24,CA,Male,White,Single,Fully Meets,4,2023-03-31,2,5,2,2023-05-25,Project Management,Internal,Passed,4,651.77,48,1,158.96829268292683,3.0
3508,2021-07-13,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Aerial,1942-05-26,OR,Male,Asian,Single,Fully Meets,5,2023-04-17,1,5,4,2023-04-04,Communication Skills,External,Completed,1,568.22,79,1,516.5636363636363,3.3333333333333335
3509,2021-04-14,Area Sales Manager,BPC,Active,Part-Time,Zone C,Full-Time,Sales,General - Sga,1977-04-11,KY,Female,Black,Married,Fully Meets,2,2022-03-12,4,5,2,2023-03-04,Leadership Development,External,Completed,4,612.1,44,1,149.2926829268293,3.6666666666666665
3510,2020-02-10,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,1956-10-17,KY,Female,Hispanic,Married,Fully Meets,2,2022-08-22,2,4,3,2022-10-27,Technical Skills,External,Completed,4,473.23,64,1,115.42195121951221,3.0
3511,2021-08-17,Area Sales Manager,WBL,Active,Part-Time,Zone B,Full-Time,Sales,Finance & Accounting,1997-02-18,KY,Female,Asian,Divorced,Fully Meets,4,2023-11-05,5,4,5,2023-04-07,Technical Skills,Internal,Completed,3,344.44,24,1,111.10967741935484,4.666666666666667
3514,2020-04-15,Area Sales Manager,BPC,Active,Full-Time,Zone B,Part-Time,Sales,Wireline Construction,1958-03-01,TX,Male,Asian,Married,Fully Meets,1,2022-08-25,2,1,1,2023-02-21,Leadership Development,Internal,Incomplete,3,975.46,62,0,314.6645161290323,1.3333333333333333
3516,2022-04-07,Area Sales Manager,SVG,Active,Contract,Zone B,Part-Time,Sales,Project Management - Con,1988-06-25,CO,Male,Asian,Divorced,Fully Meets,5,2022-11-15,2,3,5,2023-06-22,Technical Skills,Internal,Incomplete,1,570.42,34,0,518.5636363636363,3.3333333333333335
3517,2020-02-19,Area Sales Manager,EW,Active,Part-Time,Zone A,Part-Time,Sales,Splicing,1942-04-01,IN,Male,Hispanic,Widowed,Fully Meets,4,2023-01-01,4,1,1,2022-09-17,Technical Skills,Internal,Failed,3,391.31,78,0,126.2290322580645,2.0
3518,2021-04-10,Area Sales Manager,MSC,Active,Contract,Zone B,Part-Time,Sales,General - Eng,1969-05-24,CA,Female,Hispanic,Married,Fully Meets,2,2023-05-13,4,2,5,2023-06-27,Customer Service,Internal,Completed,3,826.58,52,1,266.63870967741934,3.6666666666666665
3519,2021-12-19,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Aerial,1951-03-28,CA,Male,Hispanic,Widowed,Fully Meets,2,2023-10-06,1,3,4,2022-12-11,Leadership Development,External,Incomplete,4,930.69,70,0,226.9975609756098,2.6666666666666665
3520,2020-12-13,Area Sales Manager,TNS,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Con,1963-01-03,ND,Female,Black,Divorced,Fully Meets,1,2022-09-17,5,1,1,2022-09-11,Customer Service,External,Incomplete,1,607.93,57,0,552.6636363636363,2.3333333333333335
3521,2019-02-26,Area Sales Manager,WBL,Active,Contract,Zone C,Part-Time,Sales,General - Con,1949-04-16,KY,Female,Asian,Divorced,Fully Meets,4,2022-09-19,1,3,3,2023-02-28,Communication Skills,Internal,Incomplete,5,723.5,70,0,141.86274509803923,2.3333333333333335
3522,2020-03-02,Area Sales Manager,BPC,Active,Full-Time,Zone C,Part-Time,Sales,Splicing,1983-12-10,KY,Female,Other,Single,Fully Meets,1,2023-07-14,1,5,4,2023-05-05,Communication Skills,External,Completed,5,394.04,37,1,77.26274509803922,3.3333333333333335
3523,2021-06-25,Area Sales Manager,CCDR,Active,Full-Time,Zone A,Temporary,Sales,General - Con,1978-12-19,KY,Female,Other,Single,Fully Meets,2,2023-02-27,3,2,3,2023-07-10,Leadership Development,External,Incomplete,2,451.18,43,0,214.84761904761905,2.6666666666666665
3526,2022-09-15,Area Sales Manager,NEL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,1948-05-30,TX,Male,White,Widowed,Fully Meets,4,2023-01-28,1,5,3,2022-10-15,Customer Service,Internal,Passed,2,360.5,74,1,171.66666666666666,3.0
3527,2020-05-01,Area Sales Manager,PL,Active,Full-Time,Zone B,Temporary,Sales,Aerial,1974-10-15,CO,Male,Black,Married,Fully Meets,1,2023-02-27,1,3,2,2023-01-06,Project Management,Internal,Failed,4,396.28,46,0,96.65365853658537,2.0
3528,2022-10-13,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Part-Time,Sales,Finance & Accounting,1991-12-13,CO,Male,Hispanic,Widowed,Fully Meets,2,2023-05-27,5,2,2,2023-03-02,Technical Skills,External,Passed,1,465.96,31,1,423.59999999999997,3.0
3529,2020-01-03,Area Sales Manager,SVG,Active,Part-Time,Zone C,Full-Time,Sales,Field Operations,1994-06-18,IN,Male,Hispanic,Single,Fully Meets,2,2023-07-15,2,3,4,2022-09-04,Project Management,Internal,Incomplete,1,515.56,26,0,468.69090909090903,3.0
3530,2019-11-13,Area Sales Manager,TNS,Active,Full-Time,Zone B,Part-Time,Sales,Field Operations,1993-06-16,CA,Female,Black,Widowed,Fully Meets,2,2022-11-27,1,2,5,2023-01-18,Customer Service,External,Passed,2,496.85,26,1,236.5952380952381,2.6666666666666665
3531,2023-06-17,Area Sales Manager,WBL,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,1943-05-18,CA,Male,Black,Divorced,Fully Meets,1,2023-02-24,2,4,4,2022-11-30,Leadership Development,External,Completed,3,629.46,80,1,203.05161290322582,3.3333333333333335
3532,2021-10-14,Area Sales Manager,EW,Active,Part-Time,Zone B,Full-Time,IT/IS,Wireless,1966-11-27,OR,Female,Black,Widowed,Fully Meets,1,2022-08-10,2,2,5,2023-05-02,Technical Skills,Internal,Failed,2,771.61,55,0,367.43333333333334,3.0
3533,2021-06-01,Area Sales Manager,MSC,Active,Contract,Zone B,Full-Time,Sales,General - Sga,1966-12-11,ND,Male,White,Married,Fully Meets,2,2023-08-01,2,5,2,2023-05-11,Leadership Development,Internal,Completed,4,418.4,55,1,102.04878048780488,3.0
3534,2018-09-14,Area Sales Manager,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Engineers,1959-08-16,KY,Female,Asian,Single,Fully Meets,4,2023-04-14,4,3,2,2023-05-21,Customer Service,Internal,Completed,3,900.96,59,1,290.6322580645161,3.0
3535,2018-12-11,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Temporary,Sales,Fielders,1994-02-02,KY,Female,Black,Single,Fully Meets,4,2022-01-11,1,5,1,2023-06-25,Technical Skills,External,Incomplete,1,936.96,24,0,851.7818181818182,2.3333333333333335
3536,2022-08-06,Area Sales Manager,WBL,Active,Contract,Zone C,Temporary,Sales,General - Sga,1989-02-01,GA,Female,Black,Single,Fully Meets,2,2022-09-10,1,2,4,2022-11-23,Leadership Development,External,Passed,5,269.03,33,1,52.75098039215686,2.3333333333333335
3539,2019-12-08,Area Sales Manager,BPC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,1983-11-27,CO,Male,Hispanic,Single,Fully Meets,5,2023-06-02,3,3,4,2023-03-17,Project Management,External,Failed,4,234.77,36,0,57.2609756097561,3.3333333333333335
3540,2020-03-12,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Splicing,1983-09-06,CO,Male,White,Widowed,Exceeds,4,2023-06-25,2,2,3,2022-10-26,Communication Skills,External,Incomplete,2,903.46,37,0,430.2190476190476,2.3333333333333335
3541,2020-04-06,Area Sales Manager,SVG,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,1991-10-27,IN,Male,Black,Married,Exceeds,2,2022-11-28,1,3,3,2023-05-22,Customer Service,External,Passed,4,380.3,29,1,92.75609756097562,2.3333333333333335
